feature,mean_abs_shap,rank
log_PM2_5,9.868963716201268,1
Temperature_roll_mean_7,1.9604563173502163,2
AQI_roll_std_7,1.450533989822714,3
PM10,1.4421538096717432,4
month,1.413379285688252,5
PM10_lag_1,1.2979968633776424,6
O3,1.0252748189275875,7
AQI_roll_mean_7,0.9607234210677732,8
log_PM2_5_lag_1,0.93361665442796,9
wind_speed,0.8143264380187712,10
Temperature,0.813442704562647,11
Humidity,0.6986180546680475,12
wind_speed_lag_1,0.609014543021546,13
wind_sin,0.5656693220903578,14
AQI_roll_min_3,0.5026602826289571,15
AQI_lag_2,0.49191228263326964,16
AQI,0.4873275234268039,17
AQI_lag_3,0.4738834113573142,18
wind_cos,0.4733877668336538,19
AQI_roll_max_3,0.4453384525537714,20
AQI_lag_7,0.44374536361470884,21
Humidity_roll_mean_7,0.41344352759532804,22
AQI_diff,0.2581834908573835,23
AQI_lag_1,0.2286880116100107,24
log_CO,0.22591962500527835,25
SO2,0.2199855758572486,26
AQI_roll_std_3,0.21724560991002537,27
weekday_4,0.2161373629395549,28
season_Spring,0.2075657856696965,29
NO2,0.13789996247188674,30
AQI_roll_mean_3,0.12864159746094933,31
weekday_2,0.06965747784131977,32
weekday_6,0.06009261958345217,33
season_Summer,0.025021392309984083,34
weekday_1,0.011131191685477168,35
season_Winter,0.010131915680735066,36
weekday_3,0.007157456401896602,37
weekday_5,0.0,38
Precipitation,0.0,39
