feature,rank_d1,rank_d2,rank_d3,mean_abs_shap_d3
log_PM2_5,1,1,1,5.884471660222632
AQI_roll_std_7,8,3,2,2.2281140756456708
Temperature,17,11,3,2.086800133570913
Temperature_roll_mean_7,13,2,4,1.9740610882605383
AQI_roll_mean_7,18,8,5,1.9154693209243343
month,23,5,6,1.6625100489002478
SO2,5,26,7,1.2123347904428874
PM10_lag_1,7,6,8,1.0598214159057755
PM10,2,4,9,0.8717069672954347
wind_speed_lag_1,22,13,10,0.7916077478647947
log_PM2_5_lag_1,12,9,11,0.7417346744575609
O3,3,7,12,0.7345112685603155
wind_sin,11,14,13,0.7075796243474943
AQI_roll_std_3,26,27,14,0.6978626109116458
AQI_lag_3,25,18,15,0.6670977968522684
Humidity_roll_mean_7,20,22,16,0.6200776623031105
wind_speed,14,10,17,0.5957195354938072
AQI_roll_min_3,15,15,18,0.5440755561921348
Humidity,9,12,19,0.5222873032929862
wind_cos,28,19,20,0.4950731314443037
